LineId,Date,Time,Pid,Tid,Level,Component,Content,EventId,EventTemplate,ParameterList
65,12-18,08:20:35.755,3180,3578,I,ash     ,"Application com.baidu.input_huawei is depended by other app, delay to H!",0c4100f1,"Application <*> is depended by other app, delay to H!",['com.baidu.input_huawei']
66,12-18,14:11:30.521,1795,16500,I,FreezeScreenScene,scheduleCheckFreezeScreen sendMessageDelayed,72e8e0f4,scheduleCheckFreezeScreen sendMessageDelayed,[]
67,12-18,10:52:06.607,827,542,E,LC898123_OIS,"x_ois_off=0, y_ois_off=0, x_srv_off=0, y_srv_off=0",5eed7083,"x_ois_off=<*>, y_ois_off=<*>, x_srv_off=<*>, y_srv_off=<*>","['0', '0', '0', '0']"
68,12-17,21:48:20.039,3168,1413,D,CommunicateRecord ,getRcvData() SignalQuality_LteRssnr :  2147483647,b0536e14,<*> <*> : <*>,"['getRcvData() SignalQuality_LteRssnr', ' 2147483647']"
69,12-18,10:41:19.165,1795,3139,I,SendBroadcastPermission,"action:android.intent.action.SIG_STR, mPermissionType:0",6b0b29a4,<*> mPermissionType:<*>,"['action:android.intent.action.SIG_STR,', '0']"
70,12-17,23:55:54.349,633,31870,I,SDK     ,<2016-12-17 23:55:54> [WARN] SDK: UE-SeC 2016-12-17 23:55:54:349 Level[WARN] magic[3362781472 684]:PubEvt_Close Getting a socket[82] from the Socket-table Failed!,b29d6ea3,<<*><*><*> <*>:<*>:<*>> <*> SDK: UE-SeC <*><*><*> <*>:<*>:<*>:<*> <*> magic[<*> <*> <*> <*> <*> <*> <*> <*> <*>,"['', '<2016-12-17 23', '55:54', '[WARN]', '', '2016-12-17 23', '55', '54:349 Level[WARN]', '3362781472', '684]:PubEvt_Close', 'Getting', 'a', 'socket[82] from the Socket-table Failed!']"
71,12-17,20:11:47.715,5224,5224,I,Step_LSC,20002302|onStandStepChanged 67027,dede275d,<*> <*>,['20002302|onStandStepChanged 67027']
72,12-18,19:51:17.554,1795,2750,D,HW_DISPLAY_EFFECT,"presently, hw_update_color_temp_for_rg_led interface not achieved.",d4b8d889,"presently, hw_update_color_temp_for_rg_led interface not achieved.",[]
73,12-17,19:40:23.812,3626,4889,E,PTM.FileNodeInfo,"getTempInfo error: null, 0",4de3e872,"getTempInfo error: null, <*>",['0']
74,12-17,21:58:34.552,3626,3626,I,HourObserver,"enter into handleScrnOnOffTimeStats, scrnOn = false, mIsPreScrnOn = true, mScrnSwitchTime = 1481983112898, occurTime = 1481983114550, delta = 1652, mScrnOffAccTime = 1728059, mScrnOnAccTime = 1784823",7ea77c3d,"enter into handleScrnOnOffTimeStats, scrnOn = false, mIsPreScrnOn = true, mScrnSwitchTime = <*>, occurTime = <*>, delta = <*>, mScrnOffAccTime = <*>, mScrnOnAccTime = <*>","['1481983112898', '1481983114550', '1652', '1728059', '1784823']"
75,12-18,10:56:37.697,2852,2852,I,HwSignalClusterView,getOrInflateState subId:0,cf07345e,<*> subId:<*>,"['getOrInflateState', '0']"
76,12-17,21:15:38.188,2852,2914,I,HwMobileSignalController,subId:0 phoneType:1 networktype:13 targetClass:3 masterLevel:4 slaveLevel:-1,2630e619,subId:<*> phoneType:<*> networktype:<*> targetClass:<*> masterLevel:<*> slaveLevel:-<*>,"['0', '1', '13', '3', '4', '1']"
77,12-18,15:35:07.112,2852,2852,I,StatusBar,"onNotificationPosted: StatusBarNotification(pkg=com.android.browser user=UserHandle{0} id=1482346485 tag=null key=0|com.android.browser|1482346485|null|10029: Notification(pri=0 contentView=null vibrate=null sound=null tick defaults=0x0 flags=0x2 color=0x00000000 groupKey=nf_type_1610612739 actions=1 vis=PRIVATE)) important=2, post=1482046507100, when=0, vis=0, userid=0",34fade56,"onNotificationPosted: StatusBarNotification(pkg=<*> user=UserHandle{<*>} id=<*> tag=null key=<*>|<*>|<*>|null|<*>: Notification(pri=<*> contentView=null vibrate=null sound=null tick defaults=<*> flags=<*> color=<*> groupKey=nf_type_1610612739 actions=<*> vis=PRIVATE)) important=<*>, post=<*>, when=<*>, vis=<*>, userid=<*>","['com.android.browser', '0', '1482346485', '0', 'com.android.browser|1482346485', '10029', '0', '0x0', '0x2', '0x00000000', '1', '2', '1482046507100', '0', '0', '0']"
78,12-17,21:09:58.726,1795,2748,D,HwAmbientLuxFilterAlgo,"t=126152423,BT=126153423,DT=126156423,BT1=126156423,DT1=126160423,Bn=false,Dn=false,lx=[5.0/126150919, 6.0/126151220, 5.0/126151521, 6.0/126151822, 6.0/126152122, 5.0/126152423],mLx=5.0,s=5.0,ss=0.029556653,AuIntervened=false,mProximityState=false,bLux=15.0,dLux=0.0,bLux1=15.0,dLux1=0.0",36225107,"<*> <*>.<*><*>, <*>.<*><*>, <*>.<*><*>, <*>.<*><*>, <*>","['t=126152423,BT=126153423,DT=126156423,BT1=126156423,DT1=126160423,Bn=false,Dn=false,lx=[5', '0/126150919', '', '6.0/126151220', '', '5.0/126151521', '', '6.0/126151822', '6.0/126152122, 5.0/126152423],mLx=5.0,s=5.0,ss=0.029556653,AuIntervened=false,mProximityState=false,bLux=15.0,dLux=0.0,bLux1=15.0,dLux1=0.0']"
79,12-18,17:38:23.656,1795,1795,D,WifiService,"onReceive, action:android.intent.action.SCREEN_OFF",e84c590b,<*> action:<*>,"['onReceive,', 'android.intent.action.SCREEN_OFF']"
80,12-17,21:32:17.300,633,31870,I,SDK     ,<2016-12-17 21:32:17> [WARN] SDK: UE-SeC 2016-12-17 21:32:17:300 Level[WARN] magic[3362781472 684]:PubEvt_Close Getting a socket[223] from the Socket-table Failed!,b29d6ea3,<<*><*><*> <*>:<*>:<*>> <*> SDK: UE-SeC <*><*><*> <*>:<*>:<*>:<*> <*> magic[<*> <*> <*> <*> <*> <*> <*> <*> <*>,"['', '<2016-12-17 21', '32:17', '[WARN]', '', '2016-12-17 21', '32', '17:300 Level[WARN]', '3362781472', '684]:PubEvt_Close', 'Getting', 'a', 'socket[223] from the Socket-table Failed!']"
81,12-18,18:26:24.222,1795,11745,V,SecInputMethodManagerService,"Client requesting input be hidden, pid=4492",0c1bafa7,"Client requesting input be hidden, pid=<*>",['4492']
82,12-18,15:28:33.139,7741,7741,I,Mms_UI_CMA,checkContactHasRelatedContact not update:null,e80f74c7,checkContactHasRelatedContact not update:null,[]
83,12-18,18:46:03.992,1795,1806,I,PGManagerService,"proxyWakeLockByPidUid, pid: 11429, uid: 10102, proxy: false",c6bbc222,"proxyWakeLockByPidUid, pid: <*>, uid: <*>, proxy: <*>","['11429', '10102', 'false']"
84,12-17,23:01:46.077,2883,2883,D,HwKeyguardManagerImpl,isLockScreenDisabled HwKeyguardManagerImpl result = false,4b8d59ce,<*> <*> <*> = false,"['isLockScreenDisabled', 'HwKeyguardManagerImpl result']"
85,12-18,17:32:16.457,2852,2852,I,HwSignalClusterView,getOrInflateState subId:0,cf07345e,<*> subId:<*>,"['getOrInflateState', '0']"
86,12-18,14:12:32.394,5157,5157,I,chromium,"[INFO:CONSOLE(1)] ""Uncaught SyntaxError: Unexpected token var"", source:  (1)",db4d0254,"[INFO:CONSOLE(<*>)] ""Uncaught SyntaxError: Unexpected token var"", source:  (<*>)","['1', '1']"
87,12-17,23:51:52.187,1795,11745,I,SendBroadcastPermission,"action:android.intent.action.SIG_STR, mPermissionType:0",6b0b29a4,<*> mPermissionType:<*>,"['action:android.intent.action.SIG_STR,', '0']"
88,12-18,14:13:54.040,5157,5157,W,cr_BindingManager,Cannot call determinedVisibility() - never saw a connection for the pid: 5157,7c5af11b,Cannot call determinedVisibility() - never saw a connection for the pid: <*>,['5157']
89,12-17,19:34:57.856,935,935,E,Parcel  ,Reading a NULL string not supported here.,5480b10e,Reading a NULL string not supported here.,[]
90,12-17,22:42:14.684,1795,1795,I,MQoS    ,"rtt=360,tcp_tx_pkts=1485554,tcp_rx_pkts=1771325",0faa791c,"rtt=<*>,tcp_tx_pkts=<*>,tcp_rx_pkts=<*>","['360', '1485554', '1771325']"
91,12-17,20:31:01.516,32607,24082,D,BetaClub,[LoginActivity.isLoggedIn]isLoggedIn:true,46a81f4a,[LoginActivity.isLoggedIn]isLoggedIn:true,[]
92,12-18,19:49:52.991,2852,2852,I,NotificationGroupManager,onEntryUpdated:0|com.huawei.health|10010|null|10099,a13c983e,onEntryUpdated:<*>|<*>|<*>|null|<*>,"['0', 'com.huawei.health|10010', '10099']"
