LineId,Month,Date,Time,User,Component,PID,Address,Content,EventId,EventTemplate,ParameterList
33,Jul,4,15:03:52,calvisitor-10-105-162-105,GoogleSoftwareUpdateAgent,35018,,2017-07-04 15:03:52.927 GoogleSoftwareUpdateAgent[35018/0x7fff79824000] [lvl=2] -[KSAgentApp checkForUpdates] Starting update check.,6c762eb7,<*> <*> <*> [lvl=2] -[KSAgentApp checkForUpdates] <*> update check.,"['2017-07-04', '15:03:52.927 GoogleSoftwareUpdateAgent[35018/0x7fff79824000]', 'Starting']"
34,Jul,4,23:29:58,calvisitor-10-105-162-105,WeChat,24144,,jemmytest,b55176d9,jemmytest,[]
35,Jul,2,18:23:01,calvisitor-10-105-163-202,com.apple.AddressBook.InternetAccountsBridge,32615,,dnssd_clientstub ConnectToServer: connect() failed path:/var/run/mDNSResponder Socket:4 Err:-1 Errno:1 Operation not permitted,1b7a983d,dnssd_clientstub ConnectToServer: connect() failed path:/var/run/mDNSResponder Socket:4 Err:-1 Errno:1 Operation not permitted,[]
36,Jul,6,14:57:17,calvisitor-10-105-162-178,GoogleSoftwareUpdateAgent,37059,,2017-07-06 14:57:17.015 GoogleSoftwareUpdateAgent[37059/0x7000002a0000] [lvl=2] -[KSAgentUploader fetcher:finishedWithData:] Successfully uploaded stats to <NSMutableURLRequest: 0x109406300> { URL: https://tools.google.com/service/update2 },c2ec6658,<*> <*> <*> [lvl=2] -[KSAgentUploader fetcher:finishedWithData:] Successfully uploaded stats to <NSMutableURLRequest: <*> { URL: https://<*>/service/update2 },"['2017-07-06', '14:57:17.015 GoogleSoftwareUpdateAgent[37059/0x7000002a0000]', '0x109406300>', 'tools.google.com']"
37,Jul,1,14:38:24,calvisitor-10-105-160-95,kernel,0,,AppleThunderboltGenericHAL::earlyWake - complete - took 1 milliseconds,a5714044,AppleThunderboltGenericHAL::earlyWake - complete - took <*> milliseconds,['1']
38,Jul,5,16:44:38,airbears2-10-142-108-38,Safari,9852,,KeychainGetICDPStatus: keychain: -25300,7562e40d,KeychainGetICDPStatus: keychain: -25300,[]
39,Jul,4,23:22:09,calvisitor-10-105-162-105,Microsoft Word,14463,,Cocoa scripting error for '0x00c1000c': four character codes must be four characters long.,3a1142a3,Cocoa scripting error for <*> four character codes must be four characters long.,"[""'0x00c1000c':""]"
40,Jul,7,02:01:26,calvisitor-10-105-162-178,kernel,0,,Sandbox: com.apple.Addres(37653) deny(1) network-outbound /private/var/run/mDNSResponder,bb15d06c,Sandbox: <*> deny(1) <*> <*>,"['com.apple.Addres(37653)', 'network-outbound /private/var/run/mDNSResponder']"
41,Jul,8,07:29:50,calvisitor-10-105-162-124,kernel,0,,AppleCamIn::systemWakeCall - messageType = 0xE0000340,13635c18,<*> - <*> = <*>,"['AppleCamIn::systemWakeCall', 'messageType', '0xE0000340']"
42,Jul,5,13:03:39,calvisitor-10-105-160-226,sandboxd,129,[36011],com.apple.Addres(36011) deny network-outbound /private/var/run/mDNSResponder,19147422,<*> deny network-outbound /private/var/run/mDNSResponder,['com.apple.Addres(36011)']
43,Jul,7,12:20:20,calvisitor-10-105-162-178,kernel,0,,en0: channel changed to 1,ecd68958,en0: <*> changed to <*>,"['channel', '1']"
44,Jul,8,06:26:32,calvisitor-10-105-162-124,ksfetch,39160,,2017-07-08 06:26:32.348 ksfetch[39160/0x7fff79824000] [lvl=2] main() Fetcher is exiting.,5442533a,<*> <*> <*> [lvl=2] main() Fetcher is exiting.,"['2017-07-08', '06:26:32.348 ksfetch[39160/0x7fff79824000]']"
45,Jul,5,19:00:37,authorMacBook-Pro,QQ,10018,,tcp_connection_handle_connect_conditions_bad 23449 failed: 3 - No network route,54c05f44,tcp_connection_handle_connect_conditions_bad <*> failed: 3 - No network route,['23449']
46,Jul,3,16:25:31,authorMacBook-Pro,kernel,0,,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from SUSPENDED to AUTO,6a6d7984,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from <*> to <*>,"['SUSPENDED', 'AUTO']"
47,Jul,7,18:02:46,calvisitor-10-105-160-85,kernel,0,,Sandbox: com.apple.Addres(38449) deny(1) network-outbound /private/var/run/mDNSResponder,bb15d06c,Sandbox: <*> deny(1) <*> <*>,"['com.apple.Addres(38449)', 'network-outbound /private/var/run/mDNSResponder']"
48,Jul,2,17:00:30,calvisitor-10-105-163-202,com.apple.WebKit.WebContent,32502,,"GVA warning: addNewReferenceEntry_MMCO mmcoFunc1 not found requested 8, curr = 11",305db792,"GVA warning: addNewReferenceEntry_MMCO mmcoFunc1 not found requested 8, curr = 11",[]
49,Jul,3,18:35:05,calvisitor-10-105-162-32,kernel,0,,ARPT: 683602.945041: wl0: MDNS: IPV6 Addr: 2607:f140:6000:8:c6b3:1ff:fecd:467f,55561498,ARPT: <*> wl0: MDNS: IPV6 Addr: <*>,"['683602.945041:', '2607:f140:6000:8:c6b3:1ff:fecd:467f']"
50,Jul,8,06:37:23,calvisitor-10-105-162-124,QQ,10018,,2017/07/08 06:37:23.710 | I | VoipWrapper  | DAVEngineImpl.cpp:1400:Close             | close video chat. llFriendUIN = 515629905.,e3d70e64,<*> <*> | I | VoipWrapper | DAVEngineImpl.cpp:1400:Close | close video chat. llFriendUIN = <*>,[]
51,Jul,1,09:20:14,calvisitor-10-105-160-95,kernel,0,,Bluetooth -- LE is supported - Disable LE meta event,c86dfdd9,Bluetooth -- LE is supported - Disable LE meta event,[]
52,Jul,5,19:00:37,authorMacBook-Pro,symptomsd,215,,-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.,209c69a9,-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.,[]
53,Jul,3,17:37:47,calvisitor-10-105-160-184,kernel,0,,IOPolledFilePollersOpen(0) 6 ms,7fcc70a2,IOPolledFilePollersOpen(0) <*> ms,['6']
54,Jul,6,11:08:41,calvisitor-10-105-163-253,kernel,0,,AirPort: Link Up on awdl0,de1b8e5e,AirPort: Link Up on <*>,['awdl0']
55,Jul,5,19:00:40,authorMacBook-Pro,networkd,195,,-[NETClientConnection effectiveBundleID] using process name apsd as bundle ID (this is expected for daemons without bundle ID,9a054d77,-[NETClientConnection effectiveBundleID] using process name <*> as bundle ID (this is expected for daemons without bundle ID,['apsd']
56,Jul,4,10:43:19,calvisitor-10-105-162-105,locationd,82,,"NETWORK: requery, 0, 0, 0, 0, 321, items, fQueryRetries, 0, fLastRetryTimestamp, 520880200.3",a12012c8,"NETWORK: requery, 0, 0, 0, 0, <*> items, fQueryRetries, <*> fLastRetryTimestamp, <*>","['321,', '0,', '520880200.3']"
57,Jul,5,00:29:25,authorMacBook-Pro,ntpd,207,,sigio_handler: sigio_handler_active != 1,94349d5a,sigio_handler: sigio_handler_active != <*>,['1']
58,Jul,5,17:16:08,authorMacBook-Pro,networkd,195,,-[NETClientConnection evaluateCrazyIvan46] CI46 - Perform CrazyIvan46! QQ.10018 tc23303 183.3.235.162:8080,8b905e1d,-[NETClientConnection evaluateCrazyIvan46] CI46 - Perform CrazyIvan46! <*> <*> <*>,"['QQ.10018', 'tc23303 183.3.235.162:8080']"
59,Jul,1,14:15:28,calvisitor-10-105-160-95,kernel,0,,ARPT: 627344.705181: wl0: MDNS: IPV4 Addr: 10.105.160.95,703d433b,ARPT: <*> wl0: <*> <*> <*> <*>,"['627344.705181:', 'MDNS:', 'IPV4 Addr: 10.105.160.95']"
60,Jul,7,05:12:16,calvisitor-10-105-162-178,sandboxd,129,[37751],com.apple.Addres(37751) deny network-outbound /private/var/run/mDNSResponder,19147422,<*> deny network-outbound /private/var/run/mDNSResponder,['com.apple.Addres(37751)']
61,Jul,5,01:47:03,calvisitor-10-105-163-10,kernel,0,,AirPort: Link Down on awdl0. Reason 1 (Unspecified).,005b6de9,AirPort: Link Down on awdl0. Reason 1 (Unspecified).,[]
62,Jul,4,13:29:28,calvisitor-10-105-162-105,sharingd,30299,,13:29:28.406 : BTLE scanner Powered On,b4bf6097,<*> : BTLE scanner Powered <*>,"['13:29:28.406', 'On']"
63,Jul,7,13:40:37,authorMacBook-Pro,corecaptured,38124,,"CCFile::copyFile fileName is [2017-07-07_13,40,37.209808]-io80211Family-032.pcapng, source path:/var/log/CoreCapture/com.apple.iokit.IO80211Family/IO80211AWDLPeerManager//[2017-07-07_13,40,37.209808]-io80211Family-032.pcapng, dest path:/Library/Logs/CrashReporter/CoreCapture/com.apple.iokit.IO80211Family/[2017-07-07_13,40,37.336808]=AuthFail:sts:5_rsn:0/IO80211AWDLPeerManager//[2017-07-07_13,40,37.209808]-io80211Family-032.pcapng",b8b74f3f,CCFile::copyFile fileName is <*> source <*> dest <*>,"['[2017-07-07_13,40,37.209808]-io80211Family-032.pcapng,', 'path:/var/log/CoreCapture/com.apple.iokit.IO80211Family/IO80211AWDLPeerManager//[2017-07-07_13,40,37.209808]-io80211Family-032.pcapng,', 'path:/Library/Logs/CrashReporter/CoreCapture/com.apple.iokit.IO80211Family/[2017-07-07_13,40,37.336808]=AuthFail:sts:5_rsn:0/IO80211AWDLPeerManager//[2017-07-07_13,40,37.209808]-io80211Family-032.pcapng']"
64,Jul,4,23:22:09,calvisitor-10-105-162-105,Microsoft Word,14463,,Cocoa scripting error for '0x02780007': four character codes must be four characters long.,3a1142a3,Cocoa scripting error for <*> four character codes must be four characters long.,"[""'0x02780007':""]"
65,Jul,4,16:32:41,calvisitor-10-105-162-105,kernel,0,,"polled file major 1, minor 0, blocksize 4096, pollers 5",ca177a76,"polled file major 1, minor 0, blocksize 4096, pollers 5",[]
66,Jul,4,02:50:29,airbears2-10-142-110-255,kernel,0,,"ARPT: 698447.058295: wl0: MDNS: 0 SRV Recs, 0 TXT Recs",8d0bbd5d,"ARPT: <*> wl0: MDNS: 0 SRV Recs, 0 TXT Recs",['698447.058295:']
67,Jul,6,13:11:53,calvisitor-10-105-162-178,kernel,0,,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,fea8a7f7,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = <*> unplug = 0,"['<0>', '11']"
68,Jul,5,00:30:00,calvisitor-10-105-163-10,syslogd,44,,Configuration Notice:,492d7cf0,Configuration Notice:,[]
69,Jul,5,13:58:31,calvisitor-10-105-160-226,kernel,0,,"ARPT: 724742.674248: wl0: setup_keepalive: Local port: 61520, Remote port: 443",a91f5e42,ARPT: <*> wl0: setup_keepalive: Local port: <*> Remote port: <*>,"['724742.674248:', '61520,', '443']"
70,Jul,4,16:45:24,calvisitor-10-105-162-105,secd,276,,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",61cb43e6,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*> Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",['com.apple.security.sos.error']
71,Jul,3,06:45:42,authorMacBook-Pro,syslogd,44,,ASL Sender Statistics,b5dd3697,ASL Sender Statistics,[]
72,Jul,5,00:00:11,calvisitor-10-105-162-105,QuickLookSatellite,35464,,QLStephen: Could not determine attribtues of file file:///private/var/vm/sleepimage,71a03362,QLStephen: Could not determine attribtues of file file:///private/var/vm/sleepimage,[]
73,Jul,4,20:53:02,calvisitor-10-105-162-105,kernel,0,,ARPT: 713069.957406: AirPort_Brcm43xx::powerChange: System Sleep,e61842f1,ARPT: <*> AirPort_Brcm43xx::powerChange: System Sleep,['713069.957406:']
74,Jul,5,15:56:08,calvisitor-10-105-162-107,kernel,0,,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,92121a91,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,[]
75,Jul,7,10:04:05,calvisitor-10-105-162-178,kernel,0,,Bluetooth -- LE is supported - Disable LE meta event,c86dfdd9,Bluetooth -- LE is supported - Disable LE meta event,[]
76,Jul,5,12:50:34,calvisitor-10-105-160-226,kernel,0,,"ARPT: 724509.898689: wl0: setup_keepalive: Seq: 1663142272, Ack: 763432630, Win size: 4096",33b587ef,ARPT: <*> wl0: setup_keepalive: Seq: <*> Ack: <*> Win size: 4096,"['724509.898689:', '1663142272,', '763432630,']"
77,Jul,2,13:03:11,authorMacBook-Pro,networkd,195,,-[NETClientConnection effectiveBundleID] using process name apsd as bundle ID (this is expected for daemons without bundle ID,9a054d77,-[NETClientConnection effectiveBundleID] using process name <*> as bundle ID (this is expected for daemons without bundle ID,['apsd']
78,Jul,1,09:27:16,calvisitor-10-105-160-95,AddressBookSourceSync,31199,,-[SOAPParser:0x7fd493691c20 parser:didStartElement:namespaceURI:qualifiedName:attributes:] Type not found in EWSItemType for ExchangePersonIdGuid (t:ExchangePersonIdGuid),c6c6ddc6,<*> parser:didStartElement:namespaceURI:qualifiedName:attributes:] Type not found in EWSItemType for ExchangePersonIdGuid (t:ExchangePersonIdGuid),['-[SOAPParser:0x7fd493691c20']
79,Jul,4,14:12:05,calvisitor-10-105-162-105,com.apple.WebKit.WebContent,32778,,[14:12:05.297] <<<< Boss >>>> figPlaybackBossPrerollCompleted: unexpected preroll-complete notification,d8cfefd6,<*> <<<< Boss >>>> figPlaybackBossPrerollCompleted: unexpected preroll-complete notification,['[14:12:05.297]']
80,Jul,8,01:51:46,authorMacBook-Pro,kernel,0,,ARPT: 784453.495349: ARPT: Wake Reason: Wake on Scan offload,98cfb00f,ARPT: <*> ARPT: Wake Reason: Wake on <*> <*>,"['784453.495349:', 'Scan offload']"
81,Jul,3,10:21:38,authorMacBook-Pro,kernel,0,,"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)",7c9ca2b5,"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)",[]
82,Jul,6,15:59:15,calvisitor-10-105-162-178,kernel,0,,"ARPT: 740388.473803: wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10",a0672ef8,"ARPT: <*> wl0: setup_keepalive: interval <*> retry_interval 30, retry_count 10","['740388.473803:', '900,']"
83,Jul,7,03:09:18,calvisitor-10-105-162-178,kernel,0,,"USBMSC Identifier (non-unique): 000000000820 0x5ac 0x8406 0x820, 3",1bf3d457,"USBMSC Identifier (non-unique): 000000000820 0x5ac 0x8406 0x820, 3",[]
84,Jul,3,02:32:01,authorMacBook-Pro,kernel,0,,in6_unlink_ifa: IPv6 address 0x77c9114551ab279b has no prefix,df7d7c2a,in6_unlink_ifa: IPv6 address <*> has no prefix,['0x77c9114551ab279b']
85,Jul,7,18:09:46,authorMacBook-Pro,kernel,0,,ARPT: 775690.112430: AQM agg results 0x8001 len hi/lo: 0x0 0x26 BAbitmap(0-3) 0 0 0 0,8501e33e,ARPT: <*> AQM agg results 0x8001 len hi/lo: 0x0 <*> BAbitmap(0-3) 0 0 0 0,"['775690.112430:', '0x26']"
86,Jul,5,16:24:29,authorMacBook-Pro,corecaptured,36150,,"CCFile::copyFile fileName is [2017-07-05_16,24,29.533042]-CCIOReporter-005.xml, source path:/var/log/CoreCapture/com.apple.iokit.IO80211Family/OneStats//[2017-07-05_16,24,29.533042]-CCIOReporter-005.xml, dest path:/Library/Logs/CrashReporter/CoreCapture/com.apple.iokit.IO80211Family/[2017-07-05_16,24,29.663045]=AuthFail:sts:5_rsn:0/OneStats//[2017-07-05_16,24,29.533042]-CCIOReporter-005.xml",b8b74f3f,CCFile::copyFile fileName is <*> source <*> dest <*>,"['[2017-07-05_16,24,29.533042]-CCIOReporter-005.xml,', 'path:/var/log/CoreCapture/com.apple.iokit.IO80211Family/OneStats//[2017-07-05_16,24,29.533042]-CCIOReporter-005.xml,', 'path:/Library/Logs/CrashReporter/CoreCapture/com.apple.iokit.IO80211Family/[2017-07-05_16,24,29.663045]=AuthFail:sts:5_rsn:0/OneStats//[2017-07-05_16,24,29.533042]-CCIOReporter-005.xml']"
87,Jul,5,10:44:03,calvisitor-10-105-160-179,QQ,10018,,FA||Url||taskID[2019353546] dealloc,a507ad97,<*> dealloc,['FA||Url||taskID[2019353546]']
88,Jul,7,20:49:45,calvisitor-10-105-160-85,locationd,82,,Location icon should now be in state 'Active',3813df52,Location icon should now be in state <*>,"[""'Active'""]"
89,Jul,4,08:07:11,calvisitor-10-105-162-105,kernel,0,,en0: BSSID changed to 5c:50:15:4c:18:13,ecd68958,en0: <*> changed to <*>,"['BSSID', '5c:50:15:4c:18:13']"
90,Jul,5,13:16:51,calvisitor-10-105-160-226,kernel,0,,ARPT: 724572.669168: AirPort_Brcm43xx::powerChange: System Wake - Full Wake/ Dark Wake / Maintenance wake,883aa790,ARPT: <*> AirPort_Brcm43xx::powerChange: System Wake - Full Wake/ Dark Wake / Maintenance wake,['724572.669168:']
91,Jul,8,04:13:40,authorMacBook-Pro,networkd,195,,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from 0x8000000000000000 to 0x4,f09b7e9d,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from <*> to <*>,"['0x8000000000000000', '0x4']"
92,Jul,4,17:12:24,calvisitor-10-105-162-105,kernel,0,,ARPT: 711674.227061: AirPort_Brcm43xx::platformWoWEnable: WWEN[enable],01660cbd,ARPT: <*> AirPort_Brcm43xx::platformWoWEnable: <*>,"['711674.227061:', 'WWEN[enable]']"
93,Jul,6,12:03:07,authorMacBook-Pro,locationd,82,,"NETWORK: requery, 0, 0, 0, 0, 257, items, fQueryRetries, 0, fLastRetryTimestamp, 521057331.2",a12012c8,"NETWORK: requery, 0, 0, 0, 0, <*> items, fQueryRetries, <*> fLastRetryTimestamp, <*>","['257,', '0,', '521057331.2']"
94,Jul,6,12:02:30,authorMacBook-Pro,corecaptured,36918,,"CCFile::captureLogRun Skipping current file Dir file [2017-07-06_12,02,30.986327]-AirPortBrcm4360_Logs-018.txt, Current File [2017-07-06_12,02,30.986327]-AirPortBrcm4360_Logs-018.txt",f1885a0f,CCFile::captureLogRun Skipping current file Dir file <*> Current File <*>,"['[2017-07-06_12,02,30.986327]-AirPortBrcm4360_Logs-018.txt,', '[2017-07-06_12,02,30.986327]-AirPortBrcm4360_Logs-018.txt']"
95,Jul,3,16:28:40,authorMacBook-Pro,corecaptured,33544,,CCFile::captureLogRun() Exiting CCFile::captureLogRun,2d0d617f,CCFile::captureLogRun() Exiting CCFile::captureLogRun,[]
96,Jul,3,04:19:41,authorMacBook-Pro,kernel,0,,AppleThunderboltGenericHAL::earlyWake - complete - took 1 milliseconds,a5714044,AppleThunderboltGenericHAL::earlyWake - complete - took <*> milliseconds,['1']
