LineId,LogId,Node,Component,State,Time,Flag,Content,EventId,EventTemplate,ParameterList
76,236918,Interconnect-0N02,switch_module,error,1079015243,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
77,434562,gige7,gige,temperature,1095841224,1,warning,7b83d3f0,warning,[]
78,126400,node-112,node,temperature,1111802341,1,ambient=31,92f0ab0d,ambient<*>,['31']
79,243748,node-D1,clusterfilesystem,clusterfilesystem.not_served,1118485126,1,ClusterFileSystem: ServerFileSystem domain cluster_var_backup is no longer served by node node-32,8f3207a1,ClusterFileSystem ServerFileSystem domain <*> is no longer served by node <*>,"['cluster_var_backup', 'node-32']"
80,369020,node-160,node,status,1085567825,-1,configured out,8cfafe98,configured out,[]
81,140066,gige7,gige,temperature,1077811614,1,warning,7b83d3f0,warning,[]
82,435876,node-194,node,temperature,1096381920,1,ambient=26,92f0ab0d,ambient<*>,['26']
83,80943,gige6,gige,temperature,1127633197,1,warning,7b83d3f0,warning,[]
84,260724,Interconnect-1T01,switch_module,error,1133371986,1,link errors remain current,551adf73,link errors remain current,[]
85,24565,node-235,node,temperature,1100810550,1,ambient=26,92f0ab0d,ambient<*>,['26']
86,210124,Interconnect-0N00,switch_module,error,1078453486,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
87,313409,gige7,gige,temperature,1122358619,1,warning,7b83d3f0,warning,[]
88,102268,Interconnect-0N02,switch_module,error,1077735818,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
89,39368,gige7,gige,temperature,1125875230,1,normal,fea08751,normal,[]
90,309616,gige3,gige,temperature,1135640959,1,normal,fea08751,normal,[]
91,136763,node-155,action,start,1111865521,1,wait  (command 3523),28889bc4,wait (command <*>,['3523']
92,41447,Interconnect-0N00,switch_module,fan,1125929659,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),9811d692,Fan speeds ( 3552 <*> <*> **** 3515 <*> ),"['3534 3375', '3479']"
93,188154,node-27,unix.hw,state_change.unavailable,1131229728,1,Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-0166-0001-9000-00bc-0000\042 is in the unavailable state (HWID=5938),04d0d857,Component State Change Component <*> is in the <*> state (HWID<*>),"['\\042SCSI-WWID:01000010:6005-08b4-0001-0166-0001-9000-00bc-0000\\042', 'unavailable', '5938']"
94,227932,node-141,node,temperature,1132285170,1,ambient=29,92f0ab0d,ambient<*>,['29']
95,416265,gige6,gige,temperature,1143133506,1,warning,7b83d3f0,warning,[]
96,2596246,node-253,node,status,1074289147,1,not responding,6edfd1c7,<*> responding,['not']
97,348464,Interconnect-0N00,switch_module,fan,1140557603,1,Fan speeds ( 3552 3552 3391 **** 3515 3497 ),9811d692,Fan speeds ( 3552 <*> <*> **** 3515 <*> ),"['3552 3391', '3497']"
98,2585281,Interconnect-0N02,switch_module,error,1074233892,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
99,442212,Interconnect-0N00,switch_module,fan,1143988872,1,Fan speeds ( 3534 3534 3375 **** 3497 3479 ),45f1e193,Fan speeds ( 3534 <*> 3375 <*> <*> 3479 ),"['3534', '**** 3497']"
100,105463,node-91,unix.hw,net.niff.up,1077739660,1,NIFF: node node-91 has detected an available network connection on network 10.128.0.0 via interface ee0,56597868,NIFF node <*> has detected an available network connection on network <*> via interface <*>,"['node-91', '10.128.0.0', 'ee0']"
101,105049,gige3,gige,temperature,1128277844,1,normal,fea08751,normal,[]
102,14882,gige6,gige,temperature,1124394710,1,warning,7b83d3f0,warning,[]
103,417043,node-210,unix.hw,state_change.available,1093440849,1,Component State Change: Component \042alt0\042 is in the available state (HWID=3728),04d0d857,Component State Change Component <*> is in the <*> state (HWID<*>),"['\\042alt0\\042', 'available', '3728']"
104,89507,gige3,gige,temperature,1127933137,1,warning,7b83d3f0,warning,[]
105,257297,Interconnect-0N00,switch_module,fan,1133163536,1,Fan speeds ( 3552 3534 3391 **** 3515 3479 ),9811d692,Fan speeds ( 3552 <*> <*> **** 3515 <*> ),"['3534 3391', '3479']"
106,182961,node-231,node,status,1077901664,1,not responding,6edfd1c7,<*> responding,['not']
107,105513,gige7,gige,temperature,1128344804,1,normal,fea08751,normal,[]
108,281921,node-D6,clusterfilesystem,fdmn.full,1079899998,1,ServerFileSystem: ServerFileSystem domain root12_local is full,9cac1bf6,ServerFileSystem ServerFileSystem domain <*> is full,['root12_local']
109,204928,Interconnect-1T01,switch_module,error,1078369203,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
110,2613332,Interconnect-1N01,switch_module,error,1074537874,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
111,371098,node-238,node,temperature,1085760420,1,ambient=32,92f0ab0d,ambient<*>,['32']
112,385077,gige7,gige,temperature,1086880621,1,warning,7b83d3f0,warning,[]
113,214159,Interconnect-0N01,switch_module,error,1078466512,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
114,444624,gige3,gige,temperature,1144294936,1,warning,7b83d3f0,warning,[]
115,90252,node-234,node,temperature,1128036721,1,ambient=25,92f0ab0d,ambient<*>,['25']
116,301324,Interconnect-1N01,switch_module,error,1081977135,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
117,288994,gige7,gige,temperature,1121055142,1,critical,7e85bcb6,critical,[]
118,2575529,Interconnect-0N00,switch_module,error,1074176959,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
119,2562157,gige5,gige,temperature,1073493858,1,normal,fea08751,normal,[]
120,409228,node-207,node,status,1091248531,1,active,c76a5e84,active,[]
121,276852,node-142,unix.hw,net.niff.up,1119921029,1,NIFF: node node-142 has detected an available network connection on network 10.128.0.0 via interface ee0,56597868,NIFF node <*> has detected an available network connection on network <*> via interface <*>,"['node-142', '10.128.0.0', 'ee0']"
122,89830,gige6,gige,temperature,1127990200,1,normal,fea08751,normal,[]
123,98951,gige7,gige,temperature,1128243102,1,normal,fea08751,normal,[]
124,299186,Interconnect-0N02,switch_module,error,1081817405,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
125,2278621,full,partition,status,1060647275,-1,running,75101dcd,running,[]
126,183951,Interconnect-1N03,switch_module,error,1077902546,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
127,277689,gige7,gige,temperature,1120225938,1,normal,fea08751,normal,[]
128,286057,gige7,gige,temperature,1080332243,1,warning,7b83d3f0,warning,[]
129,2556904,gige7,gige,temperature,1072886184,1,warning,7b83d3f0,warning,[]
130,30998,Interconnect-1N01,switch_module,error,1076247497,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
131,26703,gige7,gige,temperature,1101436638,1,normal,fea08751,normal,[]
132,369102,node-109,node,temperature,1085567856,1,ambient=32,92f0ab0d,ambient<*>,['32']
133,333196,node-91,node,temperature,1140134191,1,ambient=31,92f0ab0d,ambient<*>,['31']
134,39397,Interconnect-0N00,switch_module,fan,1125879013,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),9811d692,Fan speeds ( 3552 <*> <*> **** 3515 <*> ),"['3534 3375', '3479']"
135,2610198,node-55,unix.hw,net.niff.up,1074500093,1,NIFF: node node-55 has detected an available network connection on network 10.128.0.0 via interface ee0,56597868,NIFF node <*> has detected an available network connection on network <*> via interface <*>,"['node-55', '10.128.0.0', 'ee0']"
136,131760,node-247,unix.hw,state_change.unavailable,1077804678,1,Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-0140-0001-3000-0034-0000\042 is in the unavailable state (HWID=1980),04d0d857,Component State Change Component <*> is in the <*> state (HWID<*>),"['\\042SCSI-WWID:01000010:6005-08b4-0001-0140-0001-3000-0034-0000\\042', 'unavailable', '1980']"
137,373766,node-133,action,error,1085979755,1,halt (command 2992) Error: scrun failed\  couldn\047t send shutdown command,39b78785,halt (command <*> Error scrun failed\ couldn\047t send shutdown command,['2992)']
138,2599519,node-197,action,start,1074297606,1,wait  (command 1978),28889bc4,wait (command <*>,['1978']
139,348860,Interconnect-0N00,switch_module,fan,1140586539,1,Fan speeds ( 3552 3552 3391 **** 3515 3497 ),9811d692,Fan speeds ( 3552 <*> <*> **** 3515 <*> ),"['3552 3391', '3497']"
140,403430,Interconnect-0N01,switch_module,error,1089897379,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
141,60767,node-85,action,start,1076865816,1,wait  (command 2187),28889bc4,wait (command <*>,['2187']
142,25817,gige3,gige,temperature,1124740262,1,normal,fea08751,normal,[]
143,27945,node-246,node,temperature,1101956520,1,ambient=25,92f0ab0d,ambient<*>,['25']
144,257406,Interconnect-0N00,switch_module,fan,1133164369,1,Fan speeds ( 3552 3534 3391 **** 3515 3479 ),9811d692,Fan speeds ( 3552 <*> <*> **** 3515 <*> ),"['3534 3391', '3479']"
145,2597125,Interconnect-1N01,switch_module,error,1074290370,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
146,217387,gige6,gige,temperature,1116791107,1,warning,7b83d3f0,warning,[]
147,2596263,node-D7,clusterfilesystem,clusterfilesystem.no_server,1074289160,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage1321,eecaca39,ClusterFileSystem There is no server for ServerFileSystem domain <*>,['storage1321']
148,2555482,node-D7,clusterfilesystem,clusterfilesystem.not_served,1072761473,1,ClusterFileSystem: ServerFileSystem domain root14_local is no longer served by node node-237,8f3207a1,ClusterFileSystem ServerFileSystem domain <*> is no longer served by node <*>,"['root14_local', 'node-237']"
149,355033,node-233,node,temperature,1140880562,1,ambient=25,92f0ab0d,ambient<*>,['25']
150,28269,Interconnect-1N00,switch_module,error,1076181857,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
151,459571,node-129,node,status,1145542178,1,not responding,6edfd1c7,<*> responding,['not']
152,33361,gige7,gige,temperature,1102536747,1,normal,fea08751,normal,[]
153,409101,gige7,gige,temperature,1091192044,1,normal,fea08751,normal,[]
154,2597712,Interconnect-1N02,switch_module,error,1074290528,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
155,179029,node-D3,clusterfilesystem,fdmn.full,1114682316,1,ServerFileSystem: ServerFileSystem domain root8_local is full,9cac1bf6,ServerFileSystem ServerFileSystem domain <*> is full,['root8_local']
156,326975,node-56,node,status,1140098591,1,not responding,6edfd1c7,<*> responding,['not']
157,450018,gige7,gige,temperature,1144645704,1,normal,fea08751,normal,[]
158,120816,Interconnect-0N00,switch_module,fan,1129306625,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),9811d692,Fan speeds ( 3552 <*> <*> **** 3515 <*> ),"['3534 3375', '3479']"
159,314557,node-D3,clusterfilesystem,fdmn.full,1082187660,1,ServerFileSystem: ServerFileSystem domain root6_local is full,9cac1bf6,ServerFileSystem ServerFileSystem domain <*> is full,['root6_local']
160,401955,gige6,gige,temperature,1142566493,1,normal,fea08751,normal,[]
161,472730,gige3,gige,temperature,1145751133,1,normal,fea08751,normal,[]
162,338553,node-238,action,start,1083304583,1,boot  (command 2909),8d336518,boot (command <*>,['2909']
163,298114,node-82,action,start,1081759715,1,wait  (command 2769),28889bc4,wait (command <*>,['2769']
164,329836,node-79,node,temperature,1083208205,1,ambient=29,92f0ab0d,ambient<*>,['29']
165,69583,Interconnect-1N01,switch_module,error,1076999471,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
166,701,node-18,node,temperature,1123709452,1,ambient=24,92f0ab0d,ambient<*>,['24']
167,294376,Interconnect-0N03,switch_module,error,1081391738,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
168,411472,gige5,gige,temperature,1091689698,1,warning,7b83d3f0,warning,[]
169,87722,gige3,gige,temperature,1127700036,1,normal,fea08751,normal,[]
170,171069,node-169,node,status,1077886334,0,running,75101dcd,running,[]
171,40800,Interconnect-0N03,switch_module,error,1076538737,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
172,199740,node-178,node,temperature,1078118465,1,ambient=28,92f0ab0d,ambient<*>,['28']
173,2570708,Interconnect-1N03,switch_module,error,1074123041,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
174,45357,Interconnect-0N00,switch_module,fan,1125980615,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),9811d692,Fan speeds ( 3552 <*> <*> **** 3515 <*> ),"['3534 3375', '3479']"
175,313853,Interconnect-1N01,switch_module,error,1122528168,1,link errors remain current,551adf73,link errors remain current,[]
176,93285,Interconnect-0N03,switch_module,error,1077645554,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
177,340466,Interconnect-0N03,switch_module,error,1083370485,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
178,224615,Interconnect-1T01,switch_module,error,1078509991,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
179,414681,Interconnect-1T00,switch_module,bcast-error,1142851388,1,Link error on broadcast tree Interconnect-1T00:00:2:0,fdd6a490,Link error on broadcast tree <*> 00 <*>,"['Interconnect-1T', '00:2:0']"
180,165953,node-232,node,temperature,1130739960,1,ambient=28,92f0ab0d,ambient<*>,['28']
181,2575266,Interconnect-0N02,switch_module,error,1074175972,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
182,456572,node-110,node,temperature,1100036071,1,ambient=32,92f0ab0d,ambient<*>,['32']
183,34155,gige6,gige,temperature,1102724256,1,critical,7e85bcb6,critical,[]
184,426977,node-109,action,start,1095346355,1,boot  (command 3141),8d336518,boot (command <*>,['3141']
185,37398,gige7,gige,temperature,1125792728,1,normal,fea08751,normal,[]
186,162647,node-92,node,status,1114089541,1,configured out,8cfafe98,configured out,[]
187,92229,gige6,gige,temperature,1109834330,1,normal,fea08751,normal,[]
188,69181,Interconnect-1N01,switch_module,error,1076917561,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
189,289822,node-254,action,start,1134672138,1,boot  (command 4068),8d336518,boot (command <*>,['4068']
190,160976,node-97,action,start,1077875826,1,boot  (command 2395),8d336518,boot (command <*>,['2395']
191,449817,node-151,action,start,1098588811,1,boot  (command 3207),8d336518,boot (command <*>,['3207']
192,314050,node-102,node,temperature,1137431280,1,ambient=33,92f0ab0d,ambient<*>,['33']
193,40601,node-207,node,temperature,1104852511,1,ambient=30,92f0ab0d,ambient<*>,['30']
194,184889,node-143,unix.hw,net.niff.up,1077902754,1,NIFF: node node-143 has detected an available network connection on network 10.128.0.0 via interface ee0,56597868,NIFF node <*> has detected an available network connection on network <*> via interface <*>,"['node-143', '10.128.0.0', 'ee0']"
195,311193,node-208,node,status,1082041101,1,running,75101dcd,running,[]
196,296484,node-73,node,status,1081571038,0,running,75101dcd,running,[]
197,181441,node-D0,clusterfilesystem,clusterfilesystem.not_served,1114853646,1,ClusterFileSystem: ServerFileSystem domain cluster_root_backup is no longer served by node node-0,8f3207a1,ClusterFileSystem ServerFileSystem domain <*> is no longer served by node <*>,"['cluster_root_backup', 'node-0']"
198,46415,node-120,action,start,1076546533,1,boot  (command 2160),8d336518,boot (command <*>,['2160']
199,24736,gige7,gige,temperature,1124662013,1,warning,7b83d3f0,warning,[]
200,42273,Interconnect-0N00,switch_module,fan,1125933739,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),9811d692,Fan speeds ( 3552 <*> <*> **** 3515 <*> ),"['3534 3375', '3479']"
201,287154,Interconnect-1N01,switch_module,error,1080513691,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
202,89973,node-D2,clusterfilesystem,fdmn.full,1128018405,1,ServerFileSystem: ServerFileSystem domain root9_local is full,9cac1bf6,ServerFileSystem ServerFileSystem domain <*> is full,['root9_local']
203,72903,Interconnect-1T01,switch_module,error,1127132863,1,link errors remain current,551adf73,link errors remain current,[]
204,46962,gige6,gige,temperature,1126237935,1,warning,7b83d3f0,warning,[]
205,2571402,node-88,action,start,1074124267,1,risBoot  (command 1902),4445e8e0,risBoot (command <*>,['1902']
206,136052,Interconnect-1N01,switch_module,error,1077808460,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
207,262816,node-238,node,status,1079243476,1,configured out,8cfafe98,configured out,[]
208,2561076,Interconnect-1N01,switch_module,error,1073344550,1,Link in reset,db5aa7f9,Link in reset,[]
209,272574,node-137,node,status,1079615344,1,not responding,6edfd1c7,<*> responding,['not']
210,2589884,node-D0,clusterfilesystem,clusterfilesystem.not_served,1074257460,1,ClusterFileSystem: ServerFileSystem domain root27_domain is no longer served by node node-26,8f3207a1,ClusterFileSystem ServerFileSystem domain <*> is no longer served by node <*>,"['root27_domain', 'node-26']"
211,407580,gige6,gige,temperature,1090247919,1,normal,fea08751,normal,[]
212,282461,Interconnect-1N01,switch_module,error,1079977048,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
213,465854,gige6,gige,temperature,1145606594,1,warning,7b83d3f0,warning,[]
214,281599,node-D7,clusterfilesystem,fdmn.full,1079856433,1,ServerFileSystem: ServerFileSystem domain root12_local is full,9cac1bf6,ServerFileSystem ServerFileSystem domain <*> is full,['root12_local']
215,128970,Interconnect-0N01,switch_module,error,1111855816,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
216,87773,gige6,gige,temperature,1127704897,1,warning,7b83d3f0,warning,[]
217,26212,gige6,gige,temperature,1124850416,1,warning,7b83d3f0,warning,[]
218,281785,Interconnect-1T00,switch_module,bcast-error,1079886677,1,Link error,ec4e03ec,Link error,[]
219,205128,Interconnect-1T03,switch_module,error,1078398845,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
220,144148,Interconnect-1N02,switch_module,error,1077816911,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
221,1653,Interconnect-0N01,switch_module,error,1123857442,1,link errors remain current,551adf73,link errors remain current,[]
222,113669,Interconnect-1N01,switch_module,error,1111072434,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
223,283185,node-228,node,status,1080054751,1,configured out,8cfafe98,configured out,[]
224,303600,Interconnect-1T01,switch_module,error,1135134786,1,link errors remain current,551adf73,link errors remain current,[]
225,227895,full,partition,status,1078860469,1,running,75101dcd,running,[]
226,2577871,node-191,action,start,1074187759,1,wait  (command 1915),28889bc4,wait (command <*>,['1915']
227,46020,Interconnect-1N01,switch_module,error,1076545412,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
228,316108,node-D3,clusterfilesystem,fdmn.full,1082742612,1,ServerFileSystem: ServerFileSystem domain root24_local is full,9cac1bf6,ServerFileSystem ServerFileSystem domain <*> is full,['root24_local']
229,106207,node-116,node,temperature,1128497611,1,ambient=29,92f0ab0d,ambient<*>,['29']
230,130948,node-40,unix.hw,net.niff.up,1111857212,1,NIFF: node node-40 has detected an available network connection on network 5.5.224.0 via interface alt0,56597868,NIFF node <*> has detected an available network connection on network <*> via interface <*>,"['node-40', '5.5.224.0', 'alt0']"
231,408057,gige5,gige,temperature,1090534048,1,warning,7b83d3f0,warning,[]
