EventId,EventTemplate,Occurrences
8228c835,ARPT <*> AirPort_Brcm43xx syncPowerState WWEN[enabled],38
59d5bf23,ARPT <*> wl0 setup_keepalive <*> IP <*>,72
062ccb4c,tcp_connection_destination_perform_socket_connect <*> connectx to <*> <*> failed <*> Network is <*>,24
59a3c80d,[00 20 <*> (Fig) signalled err -1001,2
20494596,AppleThunderboltNHIType2 waitForOk2Go2Sx - <*>,88
49a3bab2,Internal name did not resolve to internal address!,4
957c9551,ARPT <*> framerdy 0x0 bmccmd <*> framecnt 1024,42
8754ba52,Unrecognized attribute value t AbchPersonItemType,35
1e24561b,[HID] [MT] <*> <*> entered,16
5195b03c,CFPasteboardRef CFPasteboardCreate(CFAllocatorRef CFStringRef) failed to create global data,8
4d1c02bf,en0 IO80211Interface postMessage bssid changed,51
c9993ecf,"<*> <*> <*> <*> <*> [lvl 2] -[KSOutOfProcessFetcher(PrivateMethods) helperDidTerminate ] KSOutOfProcessFetcher fetch ended for URL ""https //<*>/service/update2?cup2hreq <*> 7 <*>",4
fe1081b8,CFPasteboardCopyDataReturn __CFPasteboardCopyData(CFPasteboardRef CFIndex CFIndex CFStringRef Boolean Boolean) Lock timeout,6
f55981fa,send_datagram_available_ping pid 445 failed to act on a ping it dequeued before timing out.,127
ce2b0e13,<*> scheduler_evaluate_activity told me to run this job; however but the start time isn't for <*> seconds. Ignoring.,669
e1026f6a,Could not signal service <*> 113 Could not find specified service,1
9243e37f,CGXDisplayDidWakeNotification <*> posting kCGSDisplayDidWake,11
0c546325,-[ISGenerateImageOp generateImageWithCompletion ] Failed to composit image for descriptor <ISBindingImageDescriptor <*>,48
41cc71b5,CCFile captureLog <*>,66
adc2e4b9,doSaveChannels@286 Will write to <*> <*> <*> - RoamFail sts 1_rsn <*>,2
837147aa,<*> <*> <*> <*> <*> [lvl 2] -[KSAgentApp setupLoggerOutput] Agent settings <KSAgentSettings <*> bundleID <*> lastCheck <*> <*> <*> <*> +0000 checkInterval 18000.000000 uiDisplayInterval 604800.000000 sleepInterval 1800.000000 jitterInterval 900 maxRunInterval 0.000000 isConsoleUser 1 ticketStorePath /Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore runMode 3 daemonUpdateEngineBrokerServiceName <*> daemonAdministrationServiceName <*> logEverything 0 logBufferSize 2048 alwaysPromptForUpdates 0 productIDToUpdate (null) lastUIDisplayed (null) alwaysShowStatusItem 0 updateCheckTag (null) printResults NO userInitiated NO>,5
7077d2b1,"2017-07-06 14 15 54.217 30311 336691c0 [CountryConfiguration] Could not determine current country code Error Domain NSURLErrorDomain Code -1009 ""The Internet connection appears to be offline."" UserInfo {NSUnderlyingError 0x7fe13542a9c0 {Error Domain kCFErrorDomainCFNetwork Code -1009 ""The Internet connection appears to be offline."" UserInfo {NSErrorFailingURLStringKey https //<*>/pep/gcc NSErrorFailingURLKey https //<*>/pep/gcc _kCFStreamErrorCodeKey 8 _kCFStreamErrorDomainKey 12 NSLocalizedDescription The Internet connection appears to be offline.}} NSErrorFailingURLStringKey https //<*>/pep/gcc NSErrorFailingURLKey https //<*>/pep/gcc _kCFStreamErrorDomainKey 12 _kCFStreamErrorCodeKey 8 NSLocalizedDescription The Internet connection appears to be offline.}",1
686ae547,Captive CNPluginHandler en0 <*>,44
d6be475c,network changed DNS* Proxy,14
bda42e5a,doSaveChannels@286 Will write to <*> <*> <*> - AuthFail sts <*> 0.xml,38
82156a81,2017-07-02 <*> <*> <*> <*> [lvl 2] -[KSAgentApp(KeystoneThread) runKeystonesInThreadWithArg ] Finished with engine thread,2
3ed7dc66,"<*> <*> <*> Error Domain NSOSStatusErrorDomain Code -50 ""query missing class name"" (paramErr error in user parameter list) UserInfo {NSDescription query missing class name}",51
519fd9bd,device_generate_desktop_screenshot authw <*> shield <*>,13
4122f8ed,<*> WARNING dns_config_service_posix.cc(306)] Failed to read DnsConfig.,21
c05b41d2,CCFile copyFile fileName is [2017-07-03_16 25 <*> source path <*> 25 <*> dest path /Library/Logs/CrashReporter/CoreCapture/<*>/[2017-07-03_16 25 <*> AuthFail sts 5_rsn <*> 25 <*>,3
e17e31e5,Error in <*> -1856,9
aaf79c0c,[BluetoothHIDDeviceController] EventServiceDisconnectedCallback,8
32a8bd62,ARPT <*> wlc_dump_aggfifo,38
246a8684,Unexpected payload found for message <*> dataLen <*>,21
6688d8b1,Thermal pressure state 0 Memory pressure state 0,168
0e2b4d38,<*> 20 <*> <*> <*> [lvl 2] main() Fetcher received a download path <*>,3
05a751d1,FA||Url||taskID[2019353742] dealloc,1
40c4381f,Unable to simultaneously satisfy constraints,22
591758ae,en0 802.11d country code set to <*>,41
c3d2751b,<*> <*> <*> FigAgglomeratorSetObjectForKey signalled err -16020 (kFigStringConformerError_ParamErr) (NULL key) at /Library/Caches/<*>/Sources/CoreMedia/<*>/Prototypes/LegibleOutput/FigAgglomerator.c line 92,70
dc438aa1,CoreAnimation warning deleted thread with uncommitted CATransaction; set CA_DEBUG_TRANSACTIONS 1 in environment to log backtraces.,7
90e20638,ARPT <*> wl0 wl_update_tcpkeep_seq Updated seq/ack/win from UserClient Seq <*> Ack <*> Win size <*>,40
91eeaa24,setting hostname to <*>,30
17d3da16,hibernate_teardown_pmap_structs done last_valid_compact_indx <*>,7
8e5e7a2d,CCProfileMonitor profileCallback Entered token 1,5
3f143fab,Received Capture Event,77
ca6a38de,[14 44 29.031] <<< FigDiskCacheRepository >>> fdcr_GetFileStats stat failed for <*> err 2,3
0549e759,en0 BSSID changed to 88 75 56 a0 <*>,3
282349c2,<<<< MediaValidator >>>> <*> Unrecognized codec 1,6
0ec38005,CCFile copyFile fileName is [2017-07-07_18 09 42.341150]-CCIOReporter-002.xml source path /var/log/CoreCapture/<*>/OneStats//[2017-07-07_18 09 42.341150]-CCIOReporter-002.xml dest path /Library/Logs/CrashReporter/CoreCapture/<*>/[2017-07-07_18 09 46.007522] AuthFail sts 2_rsn 0/OneStats//[2017-07-07_18 09 42.341150]-CCIOReporter-002.xml,1
8148599e,tcp_connection_tls_session_error_callback_imp <*> __tcp_connection_tls_session_callback_write_block_invoke.434 error <*>,22
b1bd1afd,IOPMrootDomain idle cancel state 1,8
2f9cca89,<IMMacNotificationCenterManager <*> NC Disabled NO,15
1f4bfd0d,<*> deny mach-lookup <*>,14
26dd62f2,[HID] [ATC] [Error] AppleDeviceManagementHIDEventService start Could not make a string from out <*> notification key,13
b2490040,Failed to connect <*> outlet from <*> to <*> missing setter or instance variable,6
587123fd,Error returned from iconservicesagent (null),61
e44ffbe4,<*> url https //<*>/_/chrome/newtab?rlz 1C5CHFA_enHK732HK732&espv 2&ie UTF-8,3
105e43f3,button report <*>,54
f27d7671,"<*> <*> <*> <*> <*> [lvl 2] +[KSCodeSigningVerification verifyBundle applicationId error ] KSCodeSigningVerification verifying code signing for <*> with the requirement 'anchor apple generic and certificate 1[<*>] exists and certificate leaf[<*>] exists and certificate leaf[subject.OU] ""EQHXZ8M8AV"" and (identifier ""<*>"")'",2
41ad868d,CCIOReporterFormatter refreshSubscriptionsFromStreamRegistry clearing out any previous subscriptions,23
9e85569c,__42-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! <*> <*>,51
8f5c7772,mDNS_RegisterInterface Frequent transitions for interface <*>,16
3009024c,[HID] [ATC] AppleDeviceManagementHIDEventService processWakeReason Wake reason <*>,52
a37d574b,Captive <*> <*> en0 <*> <*> <*> <*> <*> (cache indicates <*> not captive),37
3e675808,00 43 09.558 Scanning mode Contacts Only,1
07b04f30,<*> profileRemoved Owner <*> Name <*>,21
03bd8bcc,Wake reason <*>,39
a0627c3b,Setting BTCoex Config enable_2G 1 profile_2g 0 enable_5G 1 profile_5G 0,31
49452d1f,[BluetoothHIDDeviceController]ERROR Could not find the disconnected object,13
515677b7,CFNetwork SSLHandshake failed <*>,13
0dd07e16,01 <*> <*> BTLE scanning stopped,2
be3436d1,ASSERTION FAILED dvcAddrRef ! ((void *)0) -[DriverServices getDeviceAddress ] line 2789,17
6425f809,mDNS_DeregisterInterface Frequent transitions for interface en0 <*>,15
b7061aaf,AirPort Link Down on en0. Reason <*> (Disassociated <*>,25
6308042c,__73-[NetworkAnalyticsEngine observeValueForKeyPath ofObject change context ]_block_invoke unexpected switch value 2,52
ee2a5419,03 <*> <*> BTLE scanner Powered On,2
b23f2c6b,Previous sleep cause 5,27
40077747,encryptStart 14020,4
d9b08204,AppleActuatorDeviceUserClient <*> Entered,10
c6bf8ec3,CCProfileMonitor freeResources done,5
27a93bac,ARPT <*> IOPMPowerSource Information <*> SleepType Normal Sleep 'ExternalConnected' Yes 'TimeRemaining' 0,40
cc554abc,<*> <*> <*> <*> <*> [lvl 2] KSHelperReceiveAllData() KSHelperTool read 1926 bytes from stdin.,2
f9bca6e0,CCFile captureLog Received Capture notice id <*> reason <*> sts <*>,69
4cc35762,booter start at <*> ms smc 0 ms [18 0 0] total <*> ms dsply 0 0 ms tramp <*> ms,5
45bdfd7d,FA||Url||taskID[2019353178] dealloc,1
0067341e,IOHibernatePollerOpen ml_get_interrupts_enabled 0,4
acc7ba0e,<IMMacNotificationCenterManager <*> Updating enabled <*> (Topics (,17
1ac195e9,<*> <*> <*> <<<< CRABS >>>> crabsFlumeHostAvailable [0x7f961cf08cf0] Byte flume reports host available again.,23
c967316d,[IOBluetoothFamily][staticBluetoothTransportShowsUp] -- Received Bluetooth Controller register service notification -- <*>,7
fa6c64fc,Previous shutdown cause 3,9
d9f12bcd,<*> 09 <*> BTLE scanning stopped,3
9f745623,IOBluetoothUSBDFU probe,6
4583d1ee,<*> <*> <*> ERROR 177 timed out after 15.000s (0 0); mMajorChangePending 0,4
8aff1fc7,hibernate_teardown started,3
ab83a05b,-[UABestAppSuggestionManager notifyBestAppChanged type options bundleIdentifier activityType dynamicIdentifier when confidence deviceName deviceIdentifier deviceType ] (null) UASuggestedActionType 0 (null)/(null) opts (null) when <*> <*> <*> <*> +0000 confidence 1 from (null)/(null) (UABestAppSuggestionManager.m #319),45
77cc45cb,CCFile copyFile fileName is [2017-07-06_16 29 <*> source path <*> 29 <*> dest path /Library/Logs/CrashReporter/CoreCapture/<*>/[2017-07-06_16 29 47.405713] AuthFail sts 2_rsn <*> 29 <*>,2
b9190464,CCFile copyFile fileName is [2017-07-05_14 04 <*> source path <*> 04 <*> dest path /Library/Logs/CrashReporter/CoreCapture/<*>/[2017-07-05_14 04 <*> AuthFail sts 5_rsn <*> 04 <*>,9
2eb1eb9d,<*> <*> <*> <<<< IQ-CA >>>> piqca_setUsePreQueue <*> rejecting report of layer being serviced - IQ has not yet begun to update,13
522db5fd,assertion failed 15G1510 <*> + 38574 [10D2E324-788C-30CC-A749-55AE67AEC7BC] 0x7fc235807b90,5
a63e19f5,objc[35448] Class <*> is implemented in both /Library/QuickLook/iWork.qlgenerator/Contents/MacOS/iWork and /System/Library/PrivateFrameworks/OfficeImport.framework/Versions/A/OfficeImport. One of the two will be used. Which one is undefined.,2
be0ab304,ARPT 683075.782271 wl0 Roamed or switched channel reason #8 bssid f8 4f 57 bc 07 7c last RSSI -68,1
880b031b,hibernate_rebuild_pmap_structs done last_valid_compact_indx <*>,5
418ee1df,[00 28 42.193] videoMentorThreadCreateSampleBuffer signalled err -12871 (err) (FigSampleGeneratorCreateSampleBufferAtCursor failed) at /Library/Caches/<*>/Sources/CoreMedia/<*>/Prototypes/FormatHandlers/VideoMentor.c line 1332,1
61b79e8f,<*> 17 <*> BTLE scanner Powered On,2
a18c802c,network changed <*> 2607 f140 6000 8 c6b3 1ff fecd 467f) <*>,32
af1be7f5,hibernate_newruntime_map time 0 ms IOPolledFilePollersOpen() ml_get_interrupts_enabled 0,6
248579d5,TBT W (2) 0x0040 [x],35
10ad87ac,en0 BSSID changed to f8 c2 88 fc 8b 63,1
9a0d99d9,<*> <*> <*> Discoverable mode changed to Contacts Only,8
0c140d8e,<*> <*> scheduler returned false; however this job is 1 seconds overdue. Running anyway.,4
3f6b70ff,FA||Url||taskID[2019353442] dealloc,1
af56cadc,Stream <*> is sending an event before being opened,10
91f655d2,**** [IOBluetoothHostControllerUSBTransport][start] -- completed -- result TRUE -- <*> ****,4
fc6a7b55,AppleActuatorHIDEventDriver stop,3
a23f56bb,"[<*>] [CalOperationQueue (x-coredata //DB05755C-483D-44B7-B93B-ED06E57FF420/ExchangePrincipal/p13) <*> <*> failed with error Error Domain NSURLErrorDomain Code -1009 ""<NASCII>"" UserInfo {NSUnderlyingError <*> {Error Domain kCFErrorDomainCFNetwork Code -1009 ""(null)"" UserInfo <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> _kCFStreamErrorDomainKey <*> NSErrorFailingURLStringKey https //1155092212%<*>@<*>/EWS/Exchange.asmx NSErrorFailingURLKey https //1155092212%<*>@<*>/EWS/Exchange.asmx _kCFStreamErrorDomainKey <*> _kCFStreamErrorCodeKey <*> NSLocalizedDescription <NASCII>}.]",3
42e9195d,############################## _getSysMsgList,24
ca8b2452,<*> <*> <*> <*> <*> [lvl 2] -[KSOmahaServer updateInfosForUpdateResponse updateRequest infoStore upToDateTickets updatedTickets events errors ] Response passed CUP validation.,3
e4a23c7a,tcp_connection_destination_perform_socket_connect <*> connectx to <*> <*> failed [65] No route to host,4
ee733e08,2017-07-07 01 <*> <*> <*> [lvl 2] -[KSAgentApp updateProductWithProductID usingEngine ] Checking for updates for <*> <*> using engine <KSUpdateEngine <*>,2
c5e4fa9e,hibernate_page_list_setall preflight pageCount <*> est comp <*> setfile <*> min 1073741824,4
5612c34c,AppleCamIn handleWakeEvent_gated,62
53b3d58b,WARNING hibernate_page_list_setall skipped <*> xpmapped pages,9
8b7c4464,11 58 27.471 BTLE scanner Powered On,1
09e73a4e,2017-07-07 10 54 <*> ksfetch[37926/0x7fff79824000] [lvl 2] main() Fetcher <*>,2
5dc704bd,hibernate_page_list_setall time <*> ms,8
e194959f,IOHibernatePollerOpen(0),3
23320c25,[BluetoothHIDDeviceController] EventServiceConnectedCallback,11
904fee67,Connecting to Dropbox on '<*>',1
efa7fb31,hibernate_machine_init pagesDone 508482 sum2 5b34bf21 time 195 ms disk(0x20000) 802 Mb/s comp bytes 45608960 time 31 ms 1383 Mb/s crypt bytes 158490624 time 37 ms 4022 Mb/s,1
8f7d765f,kern_open_file_for_direct_io(0),8
3f55cd79,Sandbox SpotlightNetHelp(352) deny(1) ipc-posix-shm-read-data CFPBS 186A7,9
582f4a26,hibernate_machine_init pagesDone 432738 sum2 726fb902 time 193 ms disk(0x20000) 812 Mb/s comp bytes 47370240 time 32 ms 1377 Mb/s crypt bytes 158535680 time 37 ms 3998 Mb/s,1
829ea564,hibernate_machine_init state 2 image pages <*> sum was <*> imageSize <*> image1Size <*> conflictCount <*> nextFree <*>,5
f356f9c1,hibernate_rebuild started,5
1fbe9f5c,18 <*> <*> BTLE scanner Powered Off,4
e4776cef,en0 BSSID changed to 00 a2 ee <*>,3
f9eb4869,08 <*> <*> Scanning mode Contacts Only,2
4c8e31fd,FA||Url||taskID[2019353429] dealloc,1
3c16b6e8,FA||Url||taskID[2019353083] dealloc,1
15b1ec6e,network changed <*> <*>) v6(en0 2607 f140 6000 8 <*> <*> <*> <*> DNS! Proxy SMB,14
7771bb1b,<*> manager is not powered on,19
77d466ea,"2017-07-08 06 26 <*> GoogleSoftwareUpdateAgent[39159/0x7000002a0000] [lvl 2] -[KSOutOfProcessFetcher beginFetchWithDelegate ] KSOutOfProcessFetcher <*> <*> from URL ""https //<*>/service/update2?cup2hreq <*> 7 <*>",2
94b6eb68,CCFile copyFile fileName is [2017-07-06_12 <*> <*> source path /var/log/CoreCapture/<*>/DriverLogs//[2017-07-06_12 <*> <*> dest path /Library/Logs/CrashReporter/CoreCapture/<*>/[2017-07-06_12 <*> <*> AuthFail sts 5_rsn 0/DriverLogs//[2017-07-06_12 <*>,4
d38a3fac,FA||Url||taskID[2019353493] dealloc,1
164db6d5,hibernate_machine_init reading,7
d18dc5d4,<*> <*> <*> <<<< CRABS >>>> crabsFlumeHostUnavailable <*> Byte flume reports host unavailable.,20
98709a6a,Daemon connection invalidated!,5
1f1a515e,extension <*> -> <*>,4
775149d5,FA||Url||taskID[2019353522] dealloc,1
9bf40a88,nw_path_query_lqm Tried to query LQM on path with no interfaces,1
c8cf49ac,AppleActuatorDevice <*> Entered,10
109c6b61,[<*>] [Refusing to parse response to PROPPATCH because of content-type [text/html; charset UTF-8].],20
598d7cc2,handle_will_sleep_auth_and_shield_windows Ordering out authw 0x7fa82419cc00(2000) shield 0x7fa825a1f000(2001) (lock state 2),1
f14eb343,pages <*> wire <*> act <*> inact 0 cleaned 0 spec <*> zf <*> throt 0 compr <*> xpmapped 40000,8
b35055fa,wake time set <*> s,6
7fac0d01,Telling CSI to <*> low power.,15
9120e009,doSaveChannels@286 Will write to <*> <*> <*> - AssocFail sts <*> 0.xml,5
55f7e451,ARPT <*> wl0 MDNS IPV6 Addr 2607 f140 6000 8 <*>,48
5ad46c1f,<*> Frequent transitions for interface awdl0 (FE80 0000 0000 0000 D8A5 90FF FEF5 7FFF),11
375fcf93,network changed v4(en0! <*>) DNS+ Proxy+ SMB,6
a53d63ce,<*> 06 <*> BTLE scanner Powered On,3
bb0b3882,handle_will_sleep_auth_and_shield_windows Reordering authw <*> (lock state 3),2
a734f3ad,**** [IOBluetoothFamily][ProcessBluetoothTransportShowsUpActionWL] -- Connected to the transport successfully -- 0x5fd0 -- 0x9a00 -- <*> ****,8
5ede7912,no sleep images for WillPowerOffWithImages,3
bfb40326,<*> <*> <*> Starting AirDrop server for user 501 on wake,6
ea6d973b,hostControllerOnline - Number of Paired devices 1 List of Paired devices (,6
ef95a242,Running daily periodic task.,2
1062761a,23 35 17.383 Scanning mode Contacts Only,1
f00407bf,"PBRequester failed with Error Error Domain NSURLErrorDomain Code -1009 ""The Internet connection appears to be offline."" UserInfo {NSUnderlyingError 0x7fe13361b8b0 {Error Domain kCFErrorDomainCFNetwork Code -1009 ""The Internet connection appears to be offline."" UserInfo {NSErrorFailingURLStringKey https //<*>/a/v2/use NSErrorFailingURLKey https //<*>/a/v2/use _kCFStreamErrorCodeKey 8 _kCFStreamErrorDomainKey 12 NSLocalizedDescription The Internet connection appears to be offline.}} NSErrorFailingURLStringKey https //<*>/a/v2/use NSErrorFailingURLKey https //<*>/a/v2/use _kCFStreamErrorDomainKey 12 _kCFStreamErrorCodeKey 8 NSLocalizedDescription The Internet connection appears to be offline.}",1
d4c3092c,Saw change in network reachability (isReachable <*>,34
81e11855,NSURLSession/NSURLConnection HTTP load failed (kCFStreamErrorDomainSSL -9802),3
7b703537,CCProfileMonitor setStreamEventHandler,3
0f0be094,hibernate_flush_memory buffer_cache_gc freed up <*> wired pages,7
dd816c9e,<*> <*> <*> Discoverable mode changed to Off,10
038257e5,hibernate_page_list_setall found pageCount <*>,7
7a670a04,<*> <*> <*> <*> <*> [lvl 2] -[KSMultiUpdateAction performAction] <*> had no updates to apply.,7
3edf453a,<IMMacNotificationCenterManager <*> notification observer <*> notification __CFNotification <*> {name <*>,20
56671921,CCFile copyFile fileName is [2017-07-07_16 24 <*> source path <*> 24 <*> dest path /Library/Logs/CrashReporter/CoreCapture/<*>/[2017-07-07_16 24 <*> AssocFail sts 2_rsn <*> 24 <*>,3
9d043034,"[Accounts] Failed to update account with identifier 76FE6715-3D27-4F21-AA35-C88C1EA820E8 error Error Domain ABAddressBookErrorDomain Code 1002 ""(null)""",1
cff4c195,"09 21 25.144 SDWormholeServer failedToStartScanningWithError Error Domain NSMachErrorDomain Code 8 ""(os/kern) no access"" UserInfo {NSLocalizedDescription wirelessproxd can't start scanning at this time.}",1
fbfe22e1,CCFile copyFile fileName is [2017-07-05_00 17 49.995060]-io80211Family-001.pcapng source path /var/log/CoreCapture/<*>/IO80211AWDLPeerManager//[2017-07-05_00 17 49.995060]-io80211Family-001.pcapng dest path /Library/Logs/CrashReporter/CoreCapture/<*>/[2017-07-05_00 17 48.837874] AssocFail sts 2_rsn 0/IO80211AWDLPeerManager//[2017-07-05_00 17 49.995060]-io80211Family-001.pcapng,1
6d6c82a7,ARPT <*> wl0 Roamed or switched channel reason <*> bssid 5c 50 15 <*> <*> <*> last RSSI <*>,8
